Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
22,Female,Berlin,Business Development Manager Operations ,4,1,Middle,74000,11000,85000,72000,5000,77000,27,Product
23,Female,Berlin,Data analyst ,1,1,Junior,60000,10000,70000,60000,7500,67500,24,Startup
24,Female,Prague,Software Engineer,3,0,Middle,72000,12000,84000,63000,0,63000,27,Product
25,Female,Frankfurt,Software Engineer,3,2,Middle,77000,2000,79000,66000,2000,68000,28,Product
25,Female,Amsterdam,Data Scientist,1.5,0,Middle,75000,10000,85000,63000,0,63000,27,Product
25,Female,Berlin,support engineer,2,2,Middle,73500,0,73500,70000,0,70000,27,Product
26,Female,Berlin,Tech recruiting,2.5,2.5,Middle,75000,7500,82500,72000,7200,79200,27,Product
26,Female,Berlin,Software Engineer,6,4,Senior,65000,3000,68000,47000,47000,94000,30,Product
26,Female,Berlin,Data Scientist,4,1,Middle,75000,75000,150000,70000,70000,140000,27,Product
26,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5,5,Middle,75000,8000,83000,73000,3000,76000,28,Startup
26,Female,Prague,Software Engineer,4,1,Middle,75000,5000,80000,75000,5000,80000,27,Startup
26,Female,Munich,Data Scientist,6,2,Middle,80000,0,80000,72000,0,72000,27,Startup
27,Female,Munich,Mobile Developer,1,1,Junior,55000,4000,59000,55000,1800,56800,24,Product
27,Female,Berlin,Backend Developer,1,1,Junior,80000,5000,85000,72000,2500,74500,24,Product
27,Female,Berlin,Backend Developer,5,2.5,Middle,67000,6000,73000,63500,5000,68500,28,Product
27,Female,Berlin,Data Scientist,3,3,Middle,74000,15000,89000,54000,54000,108000,27,Product
27,Female,Munich,Frontend Developer,2,2,Middle,62000,8000,70000,55000,0,55000,28,Product
27,Female,Munich,Backend Developer,6,4,Senior,62000,0,62000,36000,0,36000,30,Product
27,Female,Berlin,Data Analyst ,1,1,Middle,48000,7200,55200,36000,0,36000,28,Startup
27,Female,Lisbon,Backend Developer,3,0,Middle,71000,0,71000,65000,0,65000,27,Startup
27,Female,Berlin,Data Scientist,5,2,Senior,62000,0,62000,55000,0,55000,30,Startup
28,Female,Berlin,Designer (UI/UX),7,7,Middle,60000,4000,64000,51000,4000,55000,28,Consulting 
28,Female,Berlin,Frontend Developer,5,2,Senior,80000,0,80000,70000,3500,73500,30,Product
28,Female,Berlin,Data Analyst,3,2.5,Middle,72000,0,72000,62000,6200,68200,28,Product
