Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
22,Male,Frankfurt,Software Engineer,2,2,Junior,95000,0,95000,80000,0,80000,24,Startup
23,Male,Berlin,Software Engineer,4,1,Middle,75000,10000,85000,75000,0,75000,28,Product
23,Male,Dublin,Data Analyst,3,0,Senior,90000,40000,130000,70000,40000,110000,30,Product
23,Male,Berlin,Software Engineer,3,3,Middle,85000,0,85000,85000,0,85000,28,Product
24,Male,Munich,Software Engineer,5,2,Middle,68000,2000,70000,60000,500,60500,28,Consulting 
24,Male,Berlin,Data Scientist,4,2,Senior,57000,1000,58000,54000,1000,55000,30,Consulting 
24,Male,Munich,Software Engineer,3,2,Middle,66000,0,66000,60000,0,60000,28,Consulting 
24,Male,Moscow,Product Manager,3,0,Senior,63000,4000,67000,63000,4000,67000,30,Ecommerce
24,Male,Berlin,DevOps,6,3,Senior,53000,0,53000,43000,0,43000,30,Product
24,Male,Berlin,Software Engineer,2,2,Junior,65000,0,65000,62000,3000,65000,24,Product
24,Male,Sofia,ML Engineer,5,0,Senior,40000,0,40000,34000,37500,71500,30,Product
24,Male,Berlin,Software Engineer,2,2,Junior,85000,0,85000,78000,0,78000,24,Product
24,Male,Frankfurt,Frontend Developer,3,0,Middle,79000,0,79000,80000,0,80000,27,Product
24,Male,Berlin,Frontend Developer,5,1,Senior,75000,0,75000,65000,0,65000,30,Product
24,Male,Berlin,Frontend Developer,5,2,Senior,75000,0,75000,72500,0,72500,30,Product
24,Male,Tallinn,Software Engineer,3,0,Junior,75000,0,75000,75000,0,75000,24,Startup
24,Male,Berlin,Backend Developer,4,3,Middle,80000,12000,92000,65000,0,65000,28,Telecommunications
25,Male,Berlin,Mobile Developer,2,2,Middle,55000,0,55000,55000,0,55000,28,Product
25,Male,Hamburg,ML Engineer,2,2,Middle,59000,0,59000,54000,0,54000,28,Product
25,Male,Berlin,Backend Developer,6,2,Senior,75000,1000,76000,72500,0,72500,30,Product
25,Male,Stuttgart,Backend Developer,4,2,Middle,70000,5500,75500,70000,5500,75500,28,Product
25,Male,Munich,Software Engineer,3,1,Middle,85000,25,85025,75000,0,75000,28,Product
25,Male,Berlin,Backend Developer,4,1,Middle,100000,120000,220000,80000,0,80000,27,Product
25,Male,Hamburg,Data Scientist,2,2,Middle,56000,0,56000,54000,0,54000,28,Product
25,Male,Hamburg,Backend Developer,5,1,Middle,55000,0,55000,55000,0,55000,28,Product
25,Male,Berlin,Software Engineer,6,2,Middle,60000,0,60000,55000,0,55000,28,Startup
25,Male,Berlin,Data Engineer,3,3,Senior,85000,4000,89000,85000,4000,89000,30,Startup
25,Male,Berlin,Software Engineer,6,3,Senior,99000,99000,198000,89000,89000,178000,30,Startup
25,Male,Berlin,Solutions Architect,6,2,Middle,62000,0,62000,60000,0,60000,28,Startup
26,Male,Lisbon,Software Engineer,4,0,Middle,71000,0,71000,65000,0,65000,27,Automotive
26,Male,Berlin,Backend Developer,5,4,Middle,115000,17000,132000,100000,8500,108500,28,Consulting 
26,Male,Berlin,Software Engineer,5,2,Middle,78000,10000,88000,70000,0,70000,28,Consulting 
26,Male,Berlin,Software Engineer,5,1,Middle,35000,0,35000,35000,0,35000,28,eCommerce
26,Male,Berlin,Software Engineer,8,3,Lead,70000,0,70000,60000,0,60000,25,Product
26,Male,"Riga, Latvia",Software Engineer,4,0,Middle,62000,4000,66000,60000,2000,62000,27,Product
26,Male,Berlin,DevOps,5,2,Middle,74000,3000,77000,68000,3000,71000,27,Product
26,Male,Munich,Software Engineer,5,3,Senior,62400,5000,67400,60000,5000,65000,30,Product
26,Male,Berlin,Architect ,9,4,Head,43000,43000,86000,42000,42000,84000,14,Product
26,Male,Berlin,Backend Developer,2,2,Junior,73000,73000,146000,50000,50000,100000,24,Product
26,Male,SaarbrÃ¼cken,Frontend Developer,7,7,Middle,60000,65000,125000,48000,53000,101000,28,Product
26,Male,Berlin,DevOps,2,2,Middle,63500,63500,127000,60000,60000,120000,28,Product
26,Male,Munich,Software Engineer,6,2,Senior,82000,82000,164000,75000,80000,155000,30,Product
26,Male,Berlin,Data Scientist,5,3,Middle,80000,0,80000,79000,0,79000,27,Product
26,Male,Berlin,Software Engineer,5,2,Middle,77000,0,77000,60000,0,60000,28,Product
26,Male,Munich,Data Scientist,3,2,Middle,90000,0,90000,75000,0,75000,28,Product
26,Male,Berlin,Backend Developer,6,3,Senior,77000,0,77000,69300,0,69300,30,Startup
26,Male,Berlin,Mobile Developer,6,2,Senior,85000,2000,87000,68000,0,68000,30,Startup
26,Male,Berlin,Data Engineer,2,2,Middle,42000,3000,45000,42000,3000,45000,28,Startup
26,Male,Stockholm,ML Engineer,2.5,0,Middle,80000,0,80000,72000,3500,75500,28,Startup
26,Male,London,Frontend Developer,8,0,Senior,56000,17000,73000,53000,17000,70000,30,Startup
26,Male,Berlin,Backend Developer,7,4,Senior,65000,70000,135000,55000,55000,110000,30,Startup
26,Male,Munich,Backend Developer,7,1.5,Senior,72000,72000,144000,60000,60000,120000,30,Startup
26,Male,Munich,ML Engineer,1.5,1.5,Junior,78000,0,78000,70000,0,70000,24,Startup
26,Male,Berlin,Product Analyst,4,3,Middle,65000,0,65000,60000,0,60000,27,Startup
26,Male,Berlin,Data Scientist,4,2,Middle,69000,0,69000,65000,0,65000,28,Startup
26,Male,Frankfurt,Consultant,4,4,Middle,45000,0,45000,37000,0,37000,28,Startup
26,Male,Berlin,Data Engineer,4,3,Middle,74000,11000,85000,72000,10000,82000,28,Transport & Logistics
27,Male,Prague,Software Engineer,3,0,Middle,65000,5000,70000,63000,10000,73000,27,Bank
27,Male,Berlin,Tech Lead / Full-Stack,5,3.5,Lead,63000,3000,66000,50000,0,50000,27,Consulting 
27,Male,Berlin,Data Engineer,6,3,Middle,65000,1000,66000,56000,1000,57000,27,Consulting 
27,Male,Berlin,ML Engineer,6,1,Middle,60000,0,60000,50000,0,50000,28,Consulting 
